Address,Lat,Long,Description,Link
80 Chapman Street NORTH MELBOURNE VIC 3051,-37.795218,144.947774,Construction of seven dwellings on a lot with associated reduction in car parking for residents and visitors,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=235880
496 Queensberry Street NORTH MELBOURNE VIC 3051,-37.802974,144.950797,Demolition of existing single-storey amenities lean-to and construction of new two-storey addition with amenities on ground floor and small sun room over at first floor.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=235766
323 Flemington Road NORTH MELBOURNE VIC 3051,-37.791501,144.944086,Partial demolition and construction of a two storey addition,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=235391
509-511 Queensberry Street NORTH MELBOURNE VIC 3051,-37.8026006,144.9486612,Conservation works to exising stained glass window,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=235408
18-20 Steel Street NORTH MELBOURNE VIC 3051,-37.795875,144.938129,Change of use to a Mortuary Holding Facility,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=234845
3A-3B Haines Street NORTH MELBOURNE VIC 3051,-37.7990017,144.9501638,"Demolition of existing building and construction of a three-storey dwelling with decking, front fence and a reduction of the car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=234601
117-131 Capel Street NORTH MELBOURNE VIC 3051,-37.805061,144.954828,"To use the land identified as Suite 1.01 as an Education Centre, a waiver of the standard car parking requirements and the display of business identification signage",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=234537
227 Flemington Road NORTH MELBOURNE VIC 3051,-37.7942083,144.9475892,Partial demolition and alterations and additions to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=234477
139-145 Chetwynd Street NORTH MELBOURNE VIC 3051,-37.8023404,144.9526485,69 Lot Subdivision of PS712873S,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=234345
530-538 Victoria Street NORTH MELBOURNE VIC 3051,-37.804627,144.948458,Amended internal layout.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=234120
