Address,Permit No,Lat,Long,Description,Link,Issued
263 Lygon Street CARLTON VIC 3053,-37.799304,144.966868,TP-2009-597/A,The sale and consumption of liquor associated with the existing food and drink premises in accordance with the endorsed plans,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219106,Yes
464-466 Collins Street MELBOURNE VIC 3000,-37.8174438,144.9585902,TPM-2013-10/A,Partial demolition and construction of a multi-storey building comprising of residential apartments and office,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219115,No
River View House 274-282 Flinders Street MELBOURNE VIC 3000,-37.817363,144.965001,TP-2014-728,"Display of major promotional electronic signage, business identification signage, creation of entrance to basement tenancy and footpath canopy upgrade",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219118,Yes
23 Therry Street MELBOURNE VIC 3000,-37.8067659,144.9611534,TP-2014-727,Use of the land for a geotechnical laboratory (industry) and an amendment to the existing 173 Agreement (AJ294065B) Pursuant to Section 178A of the Planning and Environment Act 1987,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=222380,No
733-747 Collins Street DOCKLANDS VIC 3008,-37.8207766,144.9492986,TPM-2014-31,Melbourne planning scheme planning permit No.2012/006516a tower 4 and tower 5 podium,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218987,No
134-160 Spencer Street MELBOURNE VIC 3000,-37.817145,144.9533906,TPM-2014-32,"Melbourne planning scheme permit application 2014/003203 Application for demolition of the existing buildings and buildings and works to construct a multi-storey building for the purpose of dwellings, hotel and retail with associated on site parking.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218994,No
108-110 Little Bourke Street MELBOURNE VIC 3000,-37.811228,144.96917,TP-2014-721,Display of business identification signage to the southern facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218997,Yes
68-70 Dorcas Street SOUTHBANK VIC 3006,-37.830633,144.967467,TPM-2014-33,Construct multi-storey residential building with ground floor retail and reduce the car parking requirement for the retail uses,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219005,Yes
68 Mason Street SOUTH YARRA VIC 3141,-37.836,144.981152,TP-2007-1106/A,"Partial demolition and alterations and additions to the existing building, which includes a first floor addition",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219045,Yes
21 Charles Street JOLIMONT VIC 3002,-37.8165335,144.9840071,TP-2014-717,"Partial demolition, alterations and addition and an existing dwelling in a Heritage Overlay and on a lot less than 300 square metres",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218892,No
24-30 Russell Street MELBOURNE VIC 3000,-37.815995,144.969896,TP-2014-51,Buildings and works to construct alterations and additions at ground floor of the existing building; and construct and display internally illumated business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207644,No
20-22 Cook Street FISHERMANS BEND VIC 3207,-37.8289097,144.9183509,TP-2014-53,"Erect and display three internally illuminated, aminated, business identification sky signs where each sign includes a clock and a temperature display",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207645,No
46 Gower Street KENSINGTON VIC 3031,-37.7956247,144.9276176,TP-2014-54,Partial demolition to rear of existing dwelling and construction of alterations and additions to rear of dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207646,No
235-237 Faraday Street CARLTON VIC 3053,-37.7986268,144.9662714,TP-2014-55,"Construction of eight apartments on first level, installation of lift and associated works",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207648,No
144-180 Stockmans Way KENSINGTON VIC 3031,-37.793051,144.917537,TP-2014-56,External painting,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207657,No
807-811 Bourke Street DOCKLANDS VIC 3008,-37.8194725,144.9447659,TPS-2014-1,Request to attach awnings to shopfront,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207666,No
63 Elgin Street CARLTON VIC 3053,-37.797901,144.972419,TP-2013-553/A,"Change of use to part of the land for food and drink premises. Partial demolition, works, and external alterations to the shopfront. Waiver of bicycle parking requirements (Clause 52.34) and waiver of loading and unloading requirements (Clause 52.07) both associated with the use of food and drink premises.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207570,Yes
49-51 Peel Street WEST MELBOURNE VIC 3003,-37.8069742,144.9556683,TP-2014-46,Erection of an awning to shopfront and business and promotional signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207538,No
15 Albermarle Street KENSINGTON VIC 3031,-37.796015,144.932994,TP-2014-47,Extension of existing single storey residential dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207540,No
52-66 Dorcas Street SOUTHBANK VIC 3006,-37.830494,144.967947,TPM-2014-5,"Staged redevelopment including the construction of two (2) residential towers above a shared podium, a waiver of car parking associated with the food and drink premises and a waiver of the requirements of Clause 52.07 (loading and unloading of vehicles) (DTPLI ref 2013010107)",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=207542,No
Downtowner On Lygon 66-88 Lygon Street CARLTON VIC 3053,-37.776073,144.971351,TP-2014-734,"Demolition of existing building and construction of a multi-storey residental building and associated works (greater than the 8-storey height in DDO Schedule 44), and use of the ground floor for retail premises and place of assembly with a reduction in the standard car parking requirement",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219243,No
139-141 Swanston Street MELBOURNE VIC 3000,-37.814411,144.965735,TP-2014-635/A,Display of business identification signage and associated alterations to the facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219247,Yes
29 Chapman Street NORTH MELBOURNE VIC 3051,-37.797278,144.949108,TP-2014-736,Construction of timber screen above the eastern boundary fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219261,Yes
72-74 Bourke Street MELBOURNE VIC 3000,-37.811683,144.971007,TP-2014-733,External painting and alterations to existing ground floor facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218774,Yes
61-63 Neill Street CARLTON VIC 3053,-37.7941027,144.9724269,TP-2014-732,Buildings and works to carry out external alterations including construction of double storey extension to the rear,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=218776,Yes
248-250 City Road SOUTHBANK VIC 3006,-37.8259688,144.9599546,TP-2009-724/B,"The development of a multi-level building for the purpose of multiple dwellings and use for ground floor shops, residential display suite, a reduction of the car parking requirement and alterations to access to a road in a Road Zone, Category 1.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219084,Yes
State Library of Victoria 304-328 Swanston Street MELBOURNE VIC 3000,-37.8098087,144.9651897,TP-2014-723,"Installation of temporary business identification, promotion and major promotion signs to the scaffold and within the forecourt",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219088,Yes
53-55 Rosslyn Street WEST MELBOURNE VIC 3003,-37.80789,144.952875,TP-2013-651/A,Modifications to condition 8 and 9,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219095,Yes
20-26 Errol Street NORTH MELBOURNE VIC 3051,-37.804601,144.949838,TP-2014-725,Construction and display of illuminated business identification signs on the canopy fascia,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219097,Yes
475-485 Flinders Lane MELBOURNE VIC 3000,-37.8192912,144.958124,TPS-2014-29,external exhaust pipe,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219101,No
33-37 Walsh Street WEST MELBOURNE VIC 3003,-37.8084599,144.9533895,TP-2014-1043,Alterations to the existing building to accomodate the conversion of two office levels and mechanical equipment room within a five storey building into residential dwellings,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224274,Yes
233-239 Collins Street MELBOURNE VIC 3000,-37.816198,144.966301,TP-2014-1044,Buildings and works comprising alterations to the exsiting ground floor retail tenancy and the constructiopn and display business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224276,No
51 Chapman Street NORTH MELBOURNE VIC 3051,-37.796939,144.948641,TP-2014-1045,Construction of buildings and works for an extension to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224279,No
85 Chetwynd Street NORTH MELBOURNE VIC 3051,-37.804028,144.952149,TP-2006-18/A,Part demolition and alterations and additions to the rear of existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224283,Yes
Rialto Towers 505-535 Collins Street MELBOURNE VIC 3000,-37.8187365,144.9574919,TP-2014-1046,Variation of Easement E-1 created by AE029253C,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224285,Yes
416-420 Collins Street MELBOURNE VIC 3000,-37.816999,144.960312,TP-2014-1038,Buildings and works for a new office that increases the gross floor area of the building at Level One,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224207,Yes
198-204 Faraday Street CARLTON VIC 3053,-37.798508,144.967835,TP-2014-1039,Construction and display of internally illuminated business identification signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224231,Yes
320 Victoria Parade EAST MELBOURNE VIC 3002,-37.8093434,144.982275,TP-2014-1040,Subdivision of PS545348S,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224232,Yes
Normanby Road Reserve 17-79 Normanby Road SOUTHBANK VIC 3006,-37.8259838,144.9558345,TP-2014-1041,Removal of 19 Eucalyptus camaldulensis (River Red Gum) trees with a further four trees impacted) within the Normanby Road Reserve. The removal of native vegetation forms part of the proposed tramwork upgrade (which does not require a planning permit). A planning permit is also required for roadworks located in a Land Subject to Inundation Overlay (which is exempt from notification) and advertising signs on tramshelters,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224233,No
RMIT University 100-186 La Trobe Street MELBOURNE VIC 3000,-37.8089743,144.9652716,TP-2014-1026,"Partial removal and alterations to existing windows and louvres at Building 2, RMIT University",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224140,Yes
338 Collins Street MELBOURNE VIC 3000,-37.81622,144.963014,TP-2012-688,Construction and display of a promotional sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185454,No
570-574 Victoria Parade EAST MELBOURNE VIC 3002,-37.810263,144.990473,TP-2009-933/A,"Demolition of existing buildings for the development and use of an education centre and accommodation, use of the land to sell and consume liquor and reduction of car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185463,Yes
QV Village 278-300 Swanston Street MELBOURNE VIC 3000,-37.810506,144.96586,TP-2012-689,"Partial demolition of the existing fa̤ade, construction of alterations and additions to fa̤ade and construction and display of business identification signage",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185472,Yes
424 Victoria Street NORTH MELBOURNE VIC 3051,-37.805185,144.951915,TP-2012-690,"Use of the site as a medical centre (massage parlour), the construction and display of business identification signage and a waiver of car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185479,No
34 Parsons Street KENSINGTON VIC 3031,-37.790232,144.933091,TP-2012-691,To construct a single storey extension to the rear of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185480,No
31-33 Clowes Street SOUTH YARRA VIC 3141,-37.8308147,144.9868007,TP-2012-692,Partial demolition and first floor extension at the rear of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185482,No
21 The Ridgeway KENSINGTON VIC 3031,-37.7944221,144.9259571,TP-2012-682,Partial demolition and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185411,Yes
173 Powlett Street EAST MELBOURNE VIC 3002,-37.81105,144.985706,TP-2012-683,Partial demolition and external alterations to the rear ground floor of the existing dwelling including construction of a rear roller door and replacement boundary fences,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185413,Yes
289-299 Swanston Street MELBOURNE VIC 3000,-37.811233,144.964267,TP-2012-684,"Partial demolition, construct and carry out works to the existing building and display of business identification signage",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185420,Yes
17 Westbourne Road KENSINGTON VIC 3031,-37.79234,144.92389,TP-2012-685,Partial demolition and construction of a single storey addition to the rear of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=185421,Yes
218-220 Swanston Street MELBOURNE VIC 3000,-37.8177618,144.9688154,TP-2013-341,Buildings and works to the existing shopfront and erection of business identificaiton signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=196032,Yes
